,subgroup,modeldate,samplesize,adjusted_approve,adjusted_disapprove,createddate,M_Month,M_Day,M_Year,C_Month,C_Day,C_Year
95,All polls,9/10/2019,11512.0,40.57358,53.00161,2/20/2017,9,10,2019,2,20,2017
115,All polls,9/10/2019,10639.0,41.57358,53.00161,2/24/2017,9,10,2019,2,24,2017
140,All polls,9/10/2019,12273.0,42.57358,52.00161,11/28/2018,9,10,2019,11,28,2018
169,All polls,9/10/2019,12257.0,44.57358,51.00161,3/11/2017,9,10,2019,3,11,2017
198,All polls,9/10/2019,12133.0,43.57358,52.00161,3/17/2017,9,10,2019,3,17,2017
225,All polls,9/10/2019,12306.0,39.57358,54.00161,3/24/2017,9,10,2019,3,24,2017
252,All polls,9/10/2019,11890.0,41.57358,55.00161,3/30/2017,9,10,2019,3,30,2017
277,All polls,9/10/2019,14518.0,39.57358,55.00161,4/7/2017,9,10,2019,4,7,2017
306,All polls,9/10/2019,20020.0,41.57358,52.00161,4/14/2017,9,10,2019,4,14,2017
333,All polls,9/10/2019,15855.0,42.57358,53.00161,4/21/2017,9,10,2019,4,21,2017
363,All polls,9/10/2019,15235.0,43.57358,51.00161,4/28/2017,9,10,2019,4,28,2017
387,All polls,9/10/2019,17300.0,42.57358,51.00161,5/6/2017,9,10,2019,5,6,2017
414,All polls,9/10/2019,10468.0,40.57358,54.00161,5/12/2017,9,10,2019,5,12,2017
437,All polls,9/10/2019,10220.0,37.57358,57.00161,5/19/2017,9,10,2019,5,19,2017
471,All polls,9/10/2019,11241.0,39.57358,55.00161,5/26/2017,9,10,2019,5,26,2017
494,All polls,9/10/2019,11287.0,38.57358,56.00161,6/2/2017,9,10,2019,6,2,2017
521,All polls,9/10/2019,12770.0,38.57358,56.00161,6/9/2017,9,10,2019,6,9,2017
547,All polls,9/10/2019,17092.0,40.57358,54.00161,6/16/2017,9,10,2019,6,16,2017
575,All polls,9/10/2019,13657.0,40.57358,53.00161,6/23/2017,9,10,2019,6,23,2017
607,All polls,9/10/2019,10945.0,38.57358,55.00161,6/30/2017,9,10,2019,6,30,2017
627,All polls,9/10/2019,12338.0,40.57358,54.00161,7/7/2017,9,10,2019,7,7,2017
653,All polls,9/10/2019,16514.0,39.57358,55.00161,7/14/2017,9,10,2019,7,14,2017
729,All polls,9/10/2019,12173.0,36.57358,58.00161,8/4/2017,9,10,2019,8,4,2017
756,All polls,9/10/2019,14103.0,38.57358,56.00161,8/11/2017,9,10,2019,8,11,2017
782,All polls,9/10/2019,14805.0,37.57358,57.00161,8/18/2017,9,10,2019,8,18,2017
843,All polls,9/10/2019,10129.0,36.57358,58.00161,8/31/2017,9,10,2019,8,31,2017
846,All polls,9/10/2019,12032.0,37.57358,58.00161,9/1/2017,9,10,2019,9,1,2017
873,All polls,9/10/2019,12032.0,37.57358,56.00161,9/8/2017,9,10,2019,9,8,2017
897,All polls,9/10/2019,16343.0,40.57358,54.00161,9/15/2017,9,10,2019,9,15,2017
963,All polls,9/10/2019,16683.0,37.57358,56.00161,9/29/2017,9,10,2019,9,29,2017
992,All polls,9/10/2019,15120.0,38.57358,56.00161,10/5/2017,9,10,2019,10,5,2017
1017,All polls,9/10/2019,16203.0,38.57358,56.00161,10/12/2017,9,10,2019,10,12,2017
1045,All polls,9/10/2019,14717.0,36.57358,58.00161,10/19/2017,9,10,2019,10,19,2017
1072,All polls,9/10/2019,13572.0,36.57358,58.00161,10/26/2017,9,10,2019,10,26,2017
1107,All polls,9/10/2019,13308.0,38.57358,57.00161,11/2/2017,9,10,2019,11,2,2017
1134,All polls,9/10/2019,19325.0,38.57358,56.00161,11/9/2017,9,10,2019,11,9,2017
1163,All polls,9/10/2019,10611.0,38.57358,56.00161,11/16/2017,9,10,2019,11,16,2017
1213,All polls,9/10/2019,14040.0,36.57358,59.00161,11/30/2017,9,10,2019,11,30,2017
1243,All polls,9/10/2019,16149.0,36.57358,57.00161,12/7/2017,9,10,2019,12,7,2017
1271,All polls,9/10/2019,11427.0,37.57358,57.00161,12/14/2017,9,10,2019,12,14,2017
1301,All polls,9/10/2019,10374.0,36.57358,57.00161,12/22/2017,9,10,2019,12,22,2017
1343,All polls,9/10/2019,12238.0,40.57358,53.00161,1/4/2018,9,10,2019,1,4,2018
1350,All polls,9/10/2019,10509.0,41.57358,53.00161,1/18/2019,9,10,2019,1,18,2019
1353,All polls,9/10/2019,14192.0,47.83699,48.08865,2/28/2018,9,10,2019,2,28,2018
1379,All polls,9/10/2019,13363.0,39.57358,55.00161,1/18/2018,9,10,2019,1,18,2018
1419,All polls,9/10/2019,14166.0,37.57358,57.00161,1/25/2018,9,10,2019,1,25,2018
1438,All polls,9/10/2019,16531.0,41.57358,54.00161,2/1/2018,9,10,2019,2,1,2018
1461,All polls,9/10/2019,18080.0,41.57358,53.00161,2/8/2018,9,10,2019,2,8,2018
1475,All polls,9/10/2019,10255.0,41.57358,52.00161,1/18/2019,9,10,2019,1,18,2019
1486,All polls,9/10/2019,13293.0,40.57358,54.00161,2/15/2018,9,10,2019,2,15,2018
1505,All polls,9/10/2019,14211.0,39.57358,55.00161,2/22/2018,9,10,2019,2,22,2018
1534,All polls,9/10/2019,31777.0,40.57358,54.00161,3/1/2018,9,10,2019,3,1,2018
1557,All polls,9/10/2019,21603.0,39.57358,55.00161,3/8/2018,9,10,2019,3,8,2018
1569,All polls,9/10/2019,10089.0,41.57358,53.00161,1/18/2019,9,10,2019,1,18,2019
