,subgroup,modeldate,approve_estimate,disapprove_estimate,M_Month,M_Day,M_Year
0,Voters,9/10/2019,42.38458,53.32431,9,10,2019
1,Adults,9/10/2019,39.89137,54.62294,9,10,2019
2,All polls,9/10/2019,40.9674,54.15805,9,10,2019
3,Voters,9/9/2019,42.62912,53.25326999999999,9,9,2019
4,Adults,9/9/2019,40.6016,54.26073,9,9,2019
5,All polls,9/9/2019,41.506890000000006,53.884159999999994,9,9,2019
6,All polls,9/8/2019,41.49765,53.893530000000005,9,8,2019
7,Adults,9/8/2019,40.6016,54.26073,9,8,2019
8,Voters,9/8/2019,42.59635,53.27431,9,8,2019
9,Voters,9/7/2019,42.649390000000004,53.15034,9,7,2019
10,Adults,9/7/2019,40.554159999999996,54.17743000000001,9,7,2019
11,All polls,9/7/2019,41.459579999999995,53.82584,9,7,2019
12,Voters,9/6/2019,42.67852,53.1221,9,6,2019
13,Adults,9/6/2019,40.45258,54.22238,9,6,2019
14,All polls,9/6/2019,41.38813,53.8551,9,6,2019
15,Voters,9/5/2019,42.65997,53.14747,9,5,2019
16,Adults,9/5/2019,40.499759999999995,54.13746999999999,9,5,2019
17,All polls,9/5/2019,41.39689,53.83636,9,5,2019
18,All polls,9/4/2019,41.35923,53.85944,9,4,2019
19,Adults,9/4/2019,40.44907,54.14291,9,4,2019
20,Voters,9/4/2019,42.63621,53.14453,9,4,2019
21,Voters,9/3/2019,42.61919,53.329409999999996,9,3,2019
22,Adults,9/3/2019,40.54027,54.4237,9,3,2019
23,All polls,9/3/2019,41.46416,54.03933000000001,9,3,2019
24,All polls,9/2/2019,41.163509999999995,54.32714,9,2,2019
25,Adults,9/2/2019,40.2364,54.71144,9,2,2019
26,Voters,9/2/2019,42.03629,53.855290000000004,9,2,2019
27,All polls,9/1/2019,41.263709999999996,54.213159999999995,9,1,2019
28,Adults,9/1/2019,40.2364,54.71144,9,1,2019
29,Voters,9/1/2019,42.171820000000004,53.69319,9,1,2019
30,All polls,8/31/2019,41.263709999999996,54.213159999999995,8,31,2019
31,Adults,8/31/2019,40.2364,54.71144,8,31,2019
32,Voters,8/31/2019,42.171820000000004,53.69319,8,31,2019
33,Voters,8/30/2019,42.171820000000004,53.69319,8,30,2019
34,Adults,8/30/2019,40.2364,54.71144,8,30,2019
35,All polls,8/30/2019,41.263709999999996,54.213159999999995,8,30,2019
36,Voters,8/29/2019,42.23142,53.66891,8,29,2019
37,Adults,8/29/2019,40.18253,54.71409,8,29,2019
38,All polls,8/29/2019,41.27499,54.195640000000004,8,29,2019
39,Voters,8/28/2019,42.207609999999995,53.765530000000005,8,28,2019
40,Adults,8/28/2019,40.18253,54.71409,8,28,2019
41,All polls,8/28/2019,41.26299,54.261480000000006,8,28,2019
42,Adults,8/27/2019,40.21,54.773590000000006,8,27,2019
43,Voters,8/27/2019,42.29822,53.57329,8,27,2019
