,created_at,text,Month,Day,Year,Time
0,8/16/2016 19:22:57,"It's just a 2-point race, Clinton 38%, Trump 36%' https://t.co/EzDzJ4EzIN",8,16,2016,17:10:49
1,7/28/2016 18:32:31,"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart https://t.co/bVAj52fA3Y @realdonaldtrump""  Great!",7,28,2016,17:10:49
2,7/27/2016 17:16:56,"Great new poll - thank you!
#MakeAmericaGreatAgain https://t.co/mXovx0TLPC",7,27,2016,17:10:49
3,7/25/2016 14:05:27,"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. #MAGA",7,25,2016,17:10:49
4,7/14/2016 14:53:46,"Another new poll. Thank you for your support! Join the MOVEMENT today! 
#ImWithYou https://t.co/3KWOl2ibaW https://t.co/miT4atHxQz",7,14,2016,17:10:49
5,7/14/2016 13:21:48,"Great new poll- thank you America!
#Trump2016 #ImWithYou https://t.co/aVH9c5QRwc",7,14,2016,17:10:49
6,7/13/2016 22:19:48,Despite spending $500k a day on TV ads alone #CrookedHillary falls flat in nationwide @QuinnipiacPoll. Having ZERO impact. Sad!!,7,13,2016,17:10:49
7,7/11/2016 21:40:30,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,7,11,2016,17:10:49
8,7/9/2016 21:22:25,"New poll - thank you! #Trump2016
https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3",7,9,2016,17:10:49
9,6/29/2016 14:39:13,New Q poll out- we are going to win the whole deal- and MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/dL5ahNcwZb,6,29,2016,17:10:49
10,6/26/2016 23:13:25,"The ""dirty"" poll done by @ABC @washingtonpost is a disgrace. Even they admit that many more Democrats were polled. Other polls were good.",6,26,2016,17:10:49
11,6/26/2016 22:09:30,"Hillary Clinton is not a change agent, just the same old status quo! She is spending a fortune, I am spending very little. Close in polls!",6,26,2016,17:10:49
12,6/26/2016 16:21:15,The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!,6,26,2016,17:10:49
13,5/31/2016 10:48:49,"So many great things happening - new poll numbers looking good! News conference at 11:00 A.M. today, Trump Tower!",5,31,2016,17:10:49
14,5/27/2016 2:09:03,Poll data shows that @marcorubio does by far the best in holding onto his Senate seat in Florida. Important to keep the MAJORITY. Run Marco!,5,27,2016,17:10:49
15,5/22/2016 15:28:44,RT @gatewaypundit: BREAKING POLL: Trump Gains 11 Points on Clinton Since March=&gt; Now Leads Crooked Hillary 46-44 https://t.co/y3BGy15Erb vi…,5,22,2016,17:10:49
16,5/16/2016 2:23:06,"Great new poll- thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/SZyZ8GkF23",5,16,2016,17:10:49
17,5/14/2016 15:09:49,Great new poll- thank you! https://t.co/ytzesbCZas,5,14,2016,17:10:49
18,5/9/2016 20:35:13,RT @greta: interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC,5,9,2016,17:10:49
19,4/24/2016 1:48:17,"As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!",4,24,2016,17:10:49
20,4/18/2016 11:02:24,Kasich only looks O.K. in polls against Hillary because nobody views him as a threat and therefore have placed ZERO negative ads against him,4,18,2016,17:10:49
21,4/16/2016 22:02:55,"""@Ollie_621: @FoxNews @realDonaldTrump I think it's more like 64%. #VoteTrumpNY🗽 #MakeAmericaGreatAgain!",4,16,2016,17:10:49
22,4/16/2016 21:30:09,"""@AshleyEdam: New CBS Poll shows defections from Cruz's core supporters &amp; increased support for @realDonaldTrump ...Not surprising.""",4,16,2016,17:10:49
23,4/12/2016 10:13:02,"WOW, great new poll- New York! Thank you for your support! #Trump2016
#NewYorkValues https://t.co/kuvCXJXjcr https://t.co/WSVmdI8vfZ",4,12,2016,17:10:49
24,4/10/2016 2:45:46,"""@Theresa_Cali: Poll shows @realDonaldTrump leads among registered Republican women with 44%. 👍🏻 https://t.co/yQmh3iSPBY"" Thank you!",4,10,2016,17:10:49
25,3/29/2016 14:45:37,How come the @TODAYshow &amp; @chucktodd show the new @NBCNews Poll for Hillary vs Bernie but do not show the SAME poll where I am killing Cruz?,3,29,2016,17:10:49
26,3/26/2016 20:12:01,"Don't believe the @FoxNews Polls, they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election.",3,26,2016,17:10:49
27,3/19/2016 6:58:13,"""@cmichaeld2004: Realistic Trump Poll Numbers translate to the 70 percentile range in a two-man race. Gee, what happened to that 30% ceiling",3,19,2016,17:10:49
28,3/19/2016 1:05:55,"I guess I have reached yet another ""ceiling""  - 49.7%, with four people. My highest Reuters poll yet! Thank you! https://t.co/k5Ft585Arp",3,19,2016,17:10:49
